angle_deg,angle_folder,mass_g,pretension_N,file,file_path,velocity_mps,peak_accel_mps2,dt_s
135.0,135 deg soliton data,60.0,0.5886,60g_20260429-175730.h5,135 deg soliton data\60g_20260429-175730.h5,91.68765743073048,1466.9449158263146,2e-07
135.0,135 deg soliton data,60.0,0.5886,60g_20260429-175734.h5,135 deg soliton data\60g_20260429-175734.h5,90.98700185687758,1669.8159161903668,2e-07
135.0,135 deg soliton data,60.0,0.5886,60g_20260429-175738.h5,135 deg soliton data\60g_20260429-175738.h5,94.2795826241397,1605.9153023710442,2e-07
135.0,135 deg soliton data,60.0,0.5886,60g_20260429-175752.h5,135 deg soliton data\60g_20260429-175752.h5,93.02665206279664,1539.4501270367075,2e-07
135.0,135 deg soliton data,80.0,0.7848,80g_20260429-175947.h5,135 deg soliton data\80g_20260429-175947.h5,90.04806333050607,1553.662886733973,2e-07
135.0,135 deg soliton data,80.0,0.7848,80g_20260429-175951.h5,135 deg soliton data\80g_20260429-175951.h5,91.70745752951338,1657.306560466067,2e-07
135.0,135 deg soliton data,80.0,0.7848,80g_20260429-175955.h5,135 deg soliton data\80g_20260429-175955.h5,93.67647058823529,1545.9884809656191,2e-07
135.0,135 deg soliton data,80.0,0.7848,80g_20260429-175959.h5,135 deg soliton data\80g_20260429-175959.h5,93.66269666225554,1709.4481033102509,2e-07
135.0,135 deg soliton data,80.0,0.7848,80g_20260429-180003.h5,135 deg soliton data\80g_20260429-180003.h5,92.97912713472485,1519.8145885859203,2e-07
135.0,135 deg soliton data,80.0,0.7848,80g_20260429-180007.h5,135 deg soliton data\80g_20260429-180007.h5,92.67476540336072,1599.5591161461361,2e-07
135.0,135 deg soliton data,80.0,0.7848,80g_20260429-180012.h5,135 deg soliton data\80g_20260429-180012.h5,94.0082644628099,1614.405041872757,2e-07
135.0,135 deg soliton data,80.0,0.7848,80g_20260429-180016.h5,135 deg soliton data\80g_20260429-180016.h5,91.01950417946702,1626.7915354159165,2e-07
135.0,135 deg soliton data,80.0,0.7848,80g_20260429-180020.h5,135 deg soliton data\80g_20260429-180020.h5,91.8330570172277,1553.1668803597076,2e-07
135.0,135 deg soliton data,80.0,0.7848,80g_20260429-180030.h5,135 deg soliton data\80g_20260429-180030.h5,92.56030223772159,1637.6067248242068,2e-07
